rightHand_positionX,rightHand_positionY,rightHand_positionZ,rightHandrotation_x,rightHandrotation_y,rightHandrotation_z,rightHandrotation_w,rightThumbProximal_positionX,rightThumbProximal_positionY,rightThumbProximal_positionZ,rightThumbProximalrotation_x,rightThumbProximalrotation_y,rightThumbProximalrotation_z,rightThumbProximalrotation_w,rightThumbMedial_positionX,rightThumbMedial_positionY,rightThumbMedial_positionZ,rightThumbMedialrotation_x,rightThumbMedialrotation_y,rightThumbMedialrotation_z,rightThumbMedialrotation_w,rightThumbDistal_positionX,rightThumbDistal_positionY,rightThumbDistal_positionZ,rightThumbDistalrotation_x,rightThumbDistalrotation_y,rightThumbDistalrotation_z,rightThumbDistalrotation_w,rightThumbTip_positionX,rightThumbTip_positionY,rightThumbTip_positionZ,rightThumbTiprotation_x,rightThumbTiprotation_y,rightThumbTiprotation_z,Timestamp,rightThumbTiprotation_w,rightIndexProximal_positionX,rightIndexProximal_positionY,rightIndexProximal_positionZ,rightIndexProximalrotation_x,rightIndexProximalrotation_y,rightIndexProximalrotation_z,rightIndexProximalrotation_w,rightIndexMedial_positionX,rightIndexMedial_positionY,rightIndexMedial_positionZ,rightIndexMedialrotation_x,rightIndexMedialrotation_y,rightIndexMedialrotation_z,rightIndexMedialrotation_w,rightIndexDistal_positionX,rightIndexDistal_positionY,rightIndexDistal_positionZ,rightIndexDistalrotation_x,rightIndexDistalrotation_y,rightIndexDistalrotation_z,rightIndexDistalrotation_w,rightIndexTip_positionX,rightIndexTip_positionY,rightIndexTip_positionZ,rightIndexTiprotation_x,rightIndexTiprotation_y,rightIndexTiprotation_z,rightIndexTiprotation_w,rightMiddleProximal_positionX,rightMiddleProximal_positionY,rightMiddleProximal_positionZ,rightMiddleProximalrotation_x,rightMiddleProximalrotation_y,rightMiddleProximalrotation_z,rightMiddleProximalrotation_w,rightMiddleMedial_positionX,rightMiddleMedial_positionY,rightMiddleMedial_positionZ,rightMiddleMedialrotation_x,rightMiddleMedialrotation_y,rightMiddleMedialrotation_z,rightMiddleMedialrotation_w,rightMiddleDistal_positionX,rightMiddleDistal_positionY,rightMiddleDistal_positionZ,rightMiddleDistalrotation_x,rightMiddleDistalrotation_y,rightMiddleDistalrotation_z,rightMiddleDistalrotation_w,rightMiddleTip_positionX,rightMiddleTip_positionY,rightMiddleTip_positionZ,rightMiddleTiprotation_x,rightMiddleTiprotation_y,rightMiddleTiprotation_z,rightMiddleTiprotation_w,rightRingProximal_positionX,rightRingProximal_positionY,rightRingProximal_positionZ,rightRingProximalrotation_x,rightRingProximalrotation_y,rightRingProximalrotation_z,rightRingProximalrotation_w,rightRingMedial_positionX,rightRingMedial_positionY,rightRingMedial_positionZ,rightRingMedialrotation_x,rightRingMedialrotation_y,rightRingMedialrotation_z,rightRingMedialrotation_w,rightRingDistal_positionX,rightRingDistal_positionY,rightRingDistal_positionZ,rightRingDistalrotation_x,rightRingDistalrotation_y,rightRingDistalrotation_z,rightRingDistalrotation_w,rightRingTip_positionX,rightRingTip_positionY,rightRingTip_positionZ,rightRingTiprotation_x,rightRingTiprotation_y,rightRingTiprotation_z,rightRingTiprotation_w,rightLittleProximal_positionX,rightLittleProximal_positionY,rightLittleProximal_positionZ,rightLittleProximalrotation_x,rightLittleProximalrotation_y,rightLittleProximalrotation_z,rightLittleProximalrotation_w,rightLittleMedial_positionX,rightLittleMedial_positionY,rightLittleMedial_positionZ,rightLittleMedialrotation_x,rightLittleMedialrotation_y,rightLittleMedialrotation_z,rightLittleMedialrotation_w,rightLittleDistal_positionX,rightLittleDistal_positionY,rightLittleDistal_positionZ,rightLittleDistalrotation_x,rightLittleDistalrotation_y,rightLittleDistalrotation_z,rightLittleDistalrotation_w,rightLittleTip_positionX,rightLittleTip_positionY,rightLittleTip_positionZ,rightLittleTiprotation_x,rightLittleTiprotation_y,rightLittleTiprotation_z,rightLittleTiprotation_w,Gesture
0.206183061,1.36028528,0.175371349,0.062843956,0.130402073,-0.989433944,-0.008180073,0.180074155,1.37976658,0.17816107,0.582909465,-0.217824519,0.613274455,-0.4864807,0.1673089,1.3958478,0.209234715,-0.661804259,0.2090021,-0.6700159,0.2634619,0.16514872,1.41772246,0.227009922,-0.685326934,0.276589841,-0.645059049,0.194226608,0.16929923,1.44263935,0.247131214,-0.6853265,0.2765881,-0.6450597,0,0.19422847,0.1793265,1.43365467,0.1925189,-0.09848725,-0.7234141,0.678536832,0.08099238,0.17792362,1.43108082,0.235478431,0.08726149,0.971052468,-0.110570639,-0.192916036,0.174564227,1.40564072,0.242058933,0.157400474,0.9336894,0.288778216,-0.141620114,0.164810091,1.38529527,0.2292165,0.1574003,0.9336894,0.288778156,-0.141620323,0.200963035,1.43408,0.195489541,-0.124177448,-0.7938456,0.5873215,0.09717304,0.19729346,1.42173493,0.237777084,0.138047785,0.9864935,0.052232888,-0.07103046,0.18913582,1.39384866,0.235344023,0.155221328,0.8626689,0.481352448,-0.00297399,0.181503162,1.38007557,0.211950645,0.155221283,0.862669051,0.48135215,-0.002974025,0.221801847,1.42915356,0.199535325,-0.192817017,-0.815606534,0.540689349,0.0725431,0.212054208,1.41507578,0.2371068,0.171758518,0.971520066,0.1632421,0.00029883,0.203170016,1.39143765,0.228657722,0.1507986,0.775872767,0.607059062,0.082224496,0.199691415,1.385799,0.2035928,0.150798619,0.7758728,0.607058942,0.08222448,0.239226162,1.41901779,0.2020606,-0.3143091,-0.7778509,0.511100769,0.186905369,0.229272559,1.40966368,0.232550919,0.3057576,0.9431556,0.06899,-0.110500947,0.216840312,1.3927896,0.2312372,0.324598938,0.8405351,0.4333623,0.018268289,0.2055063,1.38394034,0.215399846,0.324598938,0.8405351,0.4333623,0.018268289,Yes
0.205879807,1.36017787,0.1756535,0.061634276,0.130206063,-0.9895334,-0.008454002,0.179782778,1.37966669,0.17850098,0.5837522,-0.218652517,0.612484157,-0.4860941,0.167113468,1.39574909,0.209613308,-0.662585,0.208693638,-0.6695525,0.262921453,0.164978325,1.41764712,0.227362737,-0.6859725,0.275983721,-0.6447376,0.193876922,0.1691321,1.44259441,0.247445658,-0.6859721,0.275982,-0.644738257,0.03,0.193878785,0.179084167,1.43356,0.192841232,-0.09766208,-0.7229781,0.6791455,0.08078429,0.177728429,1.43104339,0.235805675,0.086419985,0.9708157,-0.111745834,-0.19380793,0.174430713,1.40560937,0.24244073,0.156948388,0.9340245,0.287347347,-0.142818525,0.1646884,1.38521373,0.229669109,0.156948209,0.9340245,0.2873473,-0.142818734,0.200728089,1.43398106,0.195758015,-0.12358474,-0.79318434,0.5881843,0.09810491,0.197163209,1.42171264,0.238076821,0.138439655,0.98641026,0.052032106,-0.071570836,0.188982889,1.39383149,0.235661551,0.155813262,0.8623731,0.481689751,-0.003186382,0.1813182,1.38008714,0.212261766,0.155813217,0.8623733,0.481689453,-0.003186416,0.221575648,1.4290508,0.199753866,-0.192258373,-0.814963162,0.541719556,0.073563255,0.211927652,1.41504729,0.237378791,0.172243908,0.97153,0.162670955,-0.000285566,0.203013182,1.39140809,0.228964537,0.151465073,0.7758656,0.6069308,0.08201458,0.199500665,1.38577187,0.203903824,0.151465088,0.7758657,0.6069307,0.08201457,0.239003643,1.4189117,0.202239543,-0.314062923,-0.776906967,0.51241523,0.187645063,0.2291244,1.40963721,0.232778326,0.306370378,0.9429785,0.06799517,-0.11093282,0.216673538,1.39277315,0.231512934,0.325324029,0.8405732,0.432745159,0.01825356,0.205312163,1.38392127,0.2156967,0.325324029,0.8405732,0.432745159,0.01825356,Yes
0.205738232,1.36015022,0.175744966,0.061476234,0.1301771,-0.9895484,-0.008290961,0.179634959,1.37962985,0.178598031,0.583870053,-0.2186938,0.612267733,-0.4862066,0.166972071,1.39570272,0.209717885,-0.66271466,0.2086684,-0.669352353,0.2631239,0.16483283,1.41759539,0.227473512,-0.68611455,0.2759127,-0.644552,0.194092184,0.168979362,1.44253981,0.247561485,-0.686114132,0.275910974,-0.644552648,0.06,0.194094047,0.178920835,1.433524,0.19293423,-0.097358264,-0.7227565,0.6795005,0.08014502,0.177550942,1.43104386,0.235900342,0.0858185,0.970815957,-0.112349562,-0.193724409,0.174289867,1.40561152,0.2425599,0.1563545,0.934286058,0.286732554,-0.142993808,0.164576188,1.38518786,0.229811221,0.156354323,0.934286058,0.2867325,-0.142994016,0.200565383,1.433953,0.195845082,-0.123433851,-0.7928412,0.5886535,0.09825458,0.1970267,1.42173016,0.238179252,0.138513476,0.9863959,0.051982943,-0.071661025,0.188842177,1.39385,0.235767886,0.155920446,0.8622022,0.4819609,-0.003176644,0.181174,1.38012218,0.212359488,0.1559204,0.8622024,0.4819606,-0.003176679,0.2214158,1.42903078,0.199835628,-0.192087248,-0.814580441,0.542350948,0.073598154,0.211790785,1.4150784,0.237485424,0.172204733,0.9715234,0.1627509,-0.000271106,0.20287852,1.39143991,0.229066953,0.151376367,0.7754712,0.6074454,0.08209591,0.199377418,1.38583469,0.2039977,0.151376382,0.77547127,0.6074453,0.0820959,0.23884815,1.418898,0.202317357,-0.3139993,-0.7763993,0.513322234,0.187373385,0.2289849,1.409683,0.232879311,0.306203663,0.94303745,0.06782717,-0.110991508,0.216540515,1.39281368,0.231620386,0.325184017,0.840462863,0.43306157,0.018307325,0.205186948,1.38396955,0.215794191,0.325184017,0.840462863,0.43306157,0.018307325,Yes
0.205738232,1.36015022,0.175744966,0.061476234,0.1301771,-0.9895484,-0.008290961,0.179634959,1.37962985,0.178598031,0.583870053,-0.2186938,0.612267733,-0.4862066,0.166972071,1.39570272,0.209717885,-0.66271466,0.2086684,-0.669352353,0.2631239,0.16483283,1.41759539,0.227473512,-0.68611455,0.2759127,-0.644552,0.194092184,0.168979362,1.44253981,0.247561485,-0.686114132,0.275910974,-0.644552648,0.09,0.194094047,0.178920835,1.433524,0.19293423,-0.097358264,-0.7227565,0.6795005,0.08014502,0.177550942,1.43104386,0.235900342,0.0858185,0.970815957,-0.112349562,-0.193724409,0.174289867,1.40561152,0.2425599,0.1563545,0.934286058,0.286732554,-0.142993808,0.164576188,1.38518786,0.229811221,0.156354323,0.934286058,0.2867325,-0.142994016,0.200565383,1.433953,0.195845082,-0.123433851,-0.7928412,0.5886535,0.09825458,0.1970267,1.42173016,0.238179252,0.138513476,0.9863959,0.051982943,-0.071661025,0.188842177,1.39385,0.235767886,0.155920446,0.8622022,0.4819609,-0.003176644,0.181174,1.38012218,0.212359488,0.1559204,0.8622024,0.4819606,-0.003176679,0.2214158,1.42903078,0.199835628,-0.192087248,-0.814580441,0.542350948,0.073598154,0.211790785,1.4150784,0.237485424,0.172204733,0.9715234,0.1627509,-0.000271106,0.20287852,1.39143991,0.229066953,0.151376367,0.7754712,0.6074454,0.08209591,0.199377418,1.38583469,0.2039977,0.151376382,0.77547127,0.6074453,0.0820959,0.23884815,1.418898,0.202317357,-0.3139993,-0.7763993,0.513322234,0.187373385,0.2289849,1.409683,0.232879311,0.306203663,0.94303745,0.06782717,-0.110991508,0.216540515,1.39281368,0.231620386,0.325184017,0.840462863,0.43306157,0.018307325,0.205186948,1.38396955,0.215794191,0.325184017,0.840462863,0.43306157,0.018307325,Yes
0.2059051,1.35988259,0.176161021,0.062264927,0.130836517,-0.9894126,-0.008227321,0.179797262,1.37935853,0.178997874,0.582594335,-0.219149292,0.6125812,-0.487136036,0.1670796,1.39534914,0.21013774,-0.661870062,0.209156081,-0.6701785,0.262759775,0.164950147,1.4172411,0.227895409,-0.685326338,0.2767793,-0.6451966,0.193500727,0.169137552,1.44216931,0.247994915,-0.6853259,0.276777565,-0.6451973,0.12,0.19350259,0.179060116,1.43323362,0.193404019,-0.09736408,-0.7228279,0.6795788,0.07881919,0.1776122,1.43076277,0.2363681,0.0850389,0.9710463,-0.1127489,-0.1926797,0.174388036,1.40532815,0.243036866,0.1552042,0.9346916,0.286347747,-0.142368346,0.164739043,1.38487446,0.230287254,0.155204028,0.9346916,0.2863477,-0.142368555,0.20069997,1.43365884,0.196350187,-0.124018587,-0.7926175,0.588860154,0.098084934,0.1971157,1.42147028,0.238690421,0.139106989,0.9863353,0.053095978,-0.0705205,0.188896418,1.39360642,0.236208454,0.15595156,0.8611649,0.4838091,-0.001732626,0.181274921,1.37997985,0.212725788,0.155951515,0.8611651,0.483808815,-0.001732661,0.221543953,1.4287312,0.200367689,-0.192686468,-0.814164758,0.542869449,0.07280273,0.211852744,1.41484427,0.238024712,0.172119156,0.97154206,0.162728518,0.000652477,0.202952743,1.39120388,0.229598761,0.150823,0.77523,0.6077772,0.08293278,0.199503571,1.38561094,0.20451957,0.150823012,0.77523005,0.607777059,0.08293276,0.238972291,1.41859519,0.202864021,-0.314759165,-0.775696754,0.5143128,0.186288625,0.229059532,1.40948009,0.233439922,0.3061228,0.9431277,0.0681805,-0.110230021,0.2166177,1.39261079,0.232156575,0.324792653,0.840005,0.434200525,0.019276725,0.205303475,1.383798,0.216284767,0.324792653,0.840005,0.434200525,0.019276725,Yes
0.206297219,1.3598454,0.176105022,0.06299233,0.129956961,-0.989486039,-0.007792639,0.180174172,1.3793118,0.178866386,0.582212448,-0.218434229,0.6132433,-0.487080634,0.167397767,1.39532971,0.20996815,-0.66138947,0.208353832,-0.671208143,0.261977464,0.165247023,1.41726375,0.227671146,-0.6847957,0.276179552,-0.6462635,0.192673519,0.169419616,1.442234,0.247721463,-0.68479526,0.276177824,-0.646264136,0.15,0.192675367,0.179384813,1.43321276,0.193172961,-0.09767207,-0.722157657,0.6803624,0.077815816,0.177869886,1.43083882,0.2361402,0.084886916,0.971098363,-0.114004582,-0.1917431,0.174660474,1.40541792,0.242868111,0.1546769,0.935267568,0.2851376,-0.141584814,0.165053,1.38491988,0.230158508,0.15467672,0.935267568,0.285137534,-0.141585022,0.201019868,1.4336555,0.196151435,-0.124495745,-0.791987658,0.5896754,0.0976685,0.19739446,1.42156243,0.238515511,0.13940832,0.986364543,0.05298231,-0.06959383,0.189160928,1.39370286,0.2360337,0.155812532,0.860923946,0.484285176,-0.000665983,0.181577384,1.38009989,0.2125251,0.155812487,0.8609241,0.484284878,-0.000666017,0.221860453,1.42874694,0.2002098,-0.193113938,-0.8134715,0.543829262,0.07225394,0.212132677,1.41495979,0.237894028,0.172159031,0.9716946,0.161768481,0.001375027,0.2032354,1.39130354,0.229509816,0.150498986,0.775727034,0.607130051,0.08361016,0.199813917,1.3856647,0.2044371,0.150499,0.7757271,0.607129931,0.08361015,0.239290625,1.41862524,0.2027513,-0.315367341,-0.775116444,0.5150313,0.185689911,0.2293469,1.40958524,0.233339414,0.306450427,0.9431472,0.06788179,-0.109333426,0.216895789,1.39272261,0.23205781,0.3247317,0.8399521,0.4342984,0.020370845,0.2056049,1.38391185,0.216168314,0.3247317,0.8399521,0.4342984,0.020370845,Yes
0.206567422,1.35991061,0.175908238,0.06290027,0.129463613,-0.9895571,-0.00772659,0.180443048,1.37937737,0.17865485,0.582547545,-0.218204036,0.613195,-0.486844063,0.167674661,1.39542,0.2097472,-0.661622047,0.207907632,-0.671262264,0.261605918,0.165523261,1.41737556,0.227423444,-0.6849823,0.275719166,-0.6463726,0.192303464,0.1696929,1.44237149,0.247442454,-0.6849819,0.275717437,-0.6463733,0.18,0.192305312,0.179651231,1.43329239,0.192907587,-0.097605415,-0.721797645,0.680760562,0.07775624,0.178142652,1.430964,0.235877544,0.08487598,0.971017957,-0.114695966,-0.1917419,0.174941182,1.40555143,0.242640421,0.154651746,0.93550086,0.284375072,-0.141604111,0.165338367,1.38503039,0.229964375,0.154651567,0.93550086,0.284375,-0.141604319,0.201286808,1.43374026,0.195881665,-0.124415994,-0.791602969,0.5902192,0.09760449,0.197672576,1.42170215,0.238262355,0.139420465,0.986406147,0.05245105,-0.06938189,0.189440817,1.39383948,0.2358093,0.155729637,0.861139059,0.483929485,-0.000452091,0.18186526,1.38021564,0.212310225,0.155729592,0.861139238,0.4839292,-0.000452125,0.22212857,1.42883766,0.199941158,-0.193062127,-0.813090742,0.54441005,0.07230641,0.212416172,1.415101,0.237647831,0.172212467,0.9717443,0.161413461,0.001359525,0.203515515,1.39143956,0.229281709,0.15053378,0.775798559,0.607023835,0.0836574,0.200093091,1.38579464,0.20421049,0.1505338,0.7757986,0.6070237,0.083657384,0.239560157,1.41872025,0.202489614,-0.3154611,-0.7746811,0.51570785,0.185468778,0.22962153,1.40973079,0.233094275,0.306419075,0.9432013,0.06722566,-0.109359615,0.2171739,1.39286363,0.2318387,0.324712276,0.840238631,0.4337592,0.020350855,0.205878884,1.38403225,0.215963557,0.324712276,0.840238631,0.4337592,0.020350855,Yes
0.206567422,1.35991061,0.175908238,0.06290027,0.129463613,-0.9895571,-0.00772659,0.180443048,1.37937737,0.17865485,0.582547545,-0.218204036,0.613195,-0.486844063,0.167674661,1.39542,0.2097472,-0.661622047,0.207907632,-0.671262264,0.261605918,0.165523261,1.41737556,0.227423444,-0.6849823,0.275719166,-0.6463726,0.192303464,0.1696929,1.44237149,0.247442454,-0.6849819,0.275717437,-0.6463733,0.21,0.192305312,0.179651231,1.43329239,0.192907587,-0.097605415,-0.721797645,0.680760562,0.07775624,0.178142652,1.430964,0.235877544,0.08487598,0.971017957,-0.114695966,-0.1917419,0.174941182,1.40555143,0.242640421,0.154651746,0.93550086,0.284375072,-0.141604111,0.165338367,1.38503039,0.229964375,0.154651567,0.93550086,0.284375,-0.141604319,0.201286808,1.43374026,0.195881665,-0.124415994,-0.791602969,0.5902192,0.09760449,0.197672576,1.42170215,0.238262355,0.139420465,0.986406147,0.05245105,-0.06938189,0.189440817,1.39383948,0.2358093,0.155729637,0.861139059,0.483929485,-0.000452091,0.18186526,1.38021564,0.212310225,0.155729592,0.861139238,0.4839292,-0.000452125,0.22212857,1.42883766,0.199941158,-0.193062127,-0.813090742,0.54441005,0.07230641,0.212416172,1.415101,0.237647831,0.172212467,0.9717443,0.161413461,0.001359525,0.203515515,1.39143956,0.229281709,0.15053378,0.775798559,0.607023835,0.0836574,0.200093091,1.38579464,0.20421049,0.1505338,0.7757986,0.6070237,0.083657384,0.239560157,1.41872025,0.202489614,-0.3154611,-0.7746811,0.51570785,0.185468778,0.22962153,1.40973079,0.233094275,0.306419075,0.9432013,0.06722566,-0.109359615,0.2171739,1.39286363,0.2318387,0.324712276,0.840238631,0.4337592,0.020350855,0.205878884,1.38403225,0.215963557,0.324712276,0.840238631,0.4337592,0.020350855,Yes
0.2068433,1.36034453,0.175062552,0.06358179,0.126418084,-0.9899153,-0.006608612,0.180682555,1.37978458,0.177646741,0.583482265,-0.215741038,0.6140247,-0.485775679,0.167841092,1.39598417,0.208627388,-0.661833465,0.205113471,-0.672473669,0.260162055,0.1656246,1.41804767,0.22616075,-0.6850253,0.2729992,-0.6478918,0.190914229,0.169713929,1.44317436,0.246032044,-0.685024858,0.272997439,-0.6478925,0.24,0.190916076,0.179779455,1.43378663,0.191559777,-0.09756775,-0.7195277,0.6833252,0.07633463,0.178225815,1.43175888,0.234543368,0.08471915,0.9708301,-0.118250906,-0.190599486,0.175062209,1.40638876,0.24148123,0.154053539,0.936747134,0.281067878,-0.1406165,0.165517211,1.385761,0.228935346,0.15405336,0.936747134,0.281067818,-0.140616715,0.201409623,1.434289,0.194564313,-0.124634266,-0.78970325,0.592931,0.09626986,0.197754487,1.42253923,0.237022385,0.138981074,0.9867038,0.04929585,-0.068337776,0.189561352,1.3946507,0.234739721,0.154873192,0.862739146,0.4813477,0.000310094,0.182034165,1.3808713,0.21131593,0.154873148,0.8627393,0.4813474,0.00031006,0.222253159,1.4294467,0.1986866,-0.193100318,-0.811264,0.547336936,0.07060454,0.212507889,1.41597521,0.236480311,0.1713226,0.972550631,0.157443374,0.002325253,0.203653738,1.39223,0.228304133,0.149320915,0.7786286,0.603639543,0.084024444,0.200255,1.38635385,0.2032829,0.14932093,0.778628647,0.6036394,0.08402443,0.239697456,1.41937447,0.201325312,-0.3160969,-0.77311635,0.518330753,0.183594555,0.229726568,1.410593,0.231979847,0.306243658,0.9436798,0.06360204,-0.107878916,0.217300326,1.39370143,0.2308467,0.323974043,0.84224695,0.430345058,0.021537317,0.206022888,1.38472342,0.215041518,0.323974043,0.84224695,0.430345058,0.021537317,Yes
0.206787154,1.36037135,0.175032616,0.063519485,0.125162423,-0.990081549,-0.006189852,0.18061319,1.37980008,0.177568108,0.5840802,-0.214990616,0.614299536,-0.485041559,0.167772338,1.3960768,0.208508521,-0.6619133,0.203949735,-0.6726889,0.2603175,0.165504158,1.41816258,0.2260071,-0.6850009,0.27145806,-0.64839524,0.1914893,0.169494569,1.44332933,0.245847881,-0.6850005,0.2714563,-0.6483959,0.27,0.191491142,0.179673731,1.43383718,0.191341773,-0.09735075,-0.7185803,0.6843882,0.07601172,0.178129435,1.431931,0.234331265,0.084634915,0.9706808,-0.119726695,-0.190477148,0.174984962,1.40657878,0.2413427,0.15392679,0.9372034,0.2796524,-0.140538812,0.165453941,1.38590789,0.228857487,0.153926611,0.9372034,0.279652327,-0.14053902,0.2013037,1.43436217,0.1943438,-0.124321789,-0.7889298,0.594128251,0.095631965,0.197655573,1.42273128,0.236835167,0.138504162,0.9868635,0.04808351,-0.06786328,0.189494759,1.39482808,0.234616071,0.154235318,0.863326252,0.480499178,0.000554118,0.1820001,1.38099146,0.211215541,0.154235274,0.86332643,0.48049888,0.000554084,0.222150773,1.42954481,0.1984774,-0.192855626,-0.810469747,0.5486618,0.07011128,0.212419912,1.41618538,0.23631461,0.170918182,0.972798169,0.156347871,0.002531126,0.203586042,1.39241457,0.228191286,0.148840517,0.7791785,0.603043854,0.08405897,0.200200945,1.38649368,0.203178734,0.148840532,0.77917856,0.603043735,0.084058955,0.239602149,1.41949141,0.201141134,-0.316050828,-0.7724548,0.519568264,0.18295908,0.229640722,1.4107939,0.23182264,0.306055218,0.943882346,0.06219384,-0.107463822,0.217226818,1.39389,0.2307386,0.3236364,0.842970252,0.4291656,0.021858027,0.205956325,1.3848592,0.214958489,0.3236364,0.842970252,0.4291656,0.021858027,Yes
